review,stars
"Hotel con muy buena vista a la CD, es muy silencioso y cómodo, es sencillo llegar a la habitación, es muy cómoda. Tiene lo necesario para hospedarse de primera, el aire acondicionado funciono a la perfección, el baño es adecuado y espacioso, la reseña me pidió evaluar la alberca, pero no me informaron de que contenía alberca y la descripción del hotel tampoco se mencionó que tenía, por lo demás excelente",50
"Desde que llegamos la atención fue excelente por parte del personal, lo que extraño es el servicio de valet parking, ya que aunque tienen un área reservado para el hotel, es un poco complicado llegar.",50
"Las instalaciones del hotel están muy bien cuidadas, pasillos, habitaciones y en general todo el hotel tiene un olor espectacular, cuidan detalles que otros no lo harían. El servicio de room service bueno aunque un poco limitado en las opciones del menú. La alberca es climatizada aunque pequeña, el gimnasio muy bien equipado. La atención del personal muy amable. El servicio de internet lento y se corta para que pongan atención en este detalle. Disfrutamos mucho nuestra estancia.",40
"Una experiencia muy placentera, excelente servicio y una ubicación privilegiada, además te tratan con una amabilidad que deseas sin duda regresar, viaje en familia y todos quedamos complacidos, pronto regresaré!!",50
"Pabellón M es increíble, tener la posibilidad de contar con tantos locales de comida, entretenimiento solo saliendo del lobby es algo muy útil, como valor añadido el hotel está increíble y ha sido lo mejor que he visto en relación a calidad precio.",50
"Un hotel muy céntrico para desplazarnos entre los puntos de interés de nuestro viaje. Realmente nos fue funcional para recibir proveedores y atender clientes. Adicionalmente, al estar dentro de un centro comercial, los servicios en general nos facilitaron el no tener que invertir tanto tiempo en el tránsito de la Ciudad de Monterrey.",50
"Excelente lugar y céntrico para hospedarse. El estar en una plaza comercial permite tener cerca restaurantes y opciones de comida. Habitaciones amplias, limpias y confortables. El restaurante más o menos. El room service bastante lento",50
"Un lugar con excelente ubicación ya que queda cerca del centro de la ciudad y sobre una de las principales  vias te transporte. Adicionalmente estan las ventajas de que esta dentro de una plaza comercial donde puedes encontrar alimentos, tienda Apple y cine. Tambien en esta plaza te encuentras junto  al foro Pabellon donde se presentan algunos conciertos. Estas instalaciones no trasmiten ningún ruido dentro del hotel al dormir. Las instalaciones y restaurante muy cómodas y agradables.",50
"Desilusión total comparado a las veces anteriores. Mal servicio en check-in por el que tuve que hacer varios movimientos en el desk, mala limpieza de cuarto, no sacaban la basura de los botes, mal servicio tintorería, mi ropa no la traían en tiempo conforme servicio express, cosas sin servir en la habitación como la TV, el minibar sin poder tener acceso, muy mala atención al cliente.",10
"Este es mi hotel de confianza. Está bien ubicado y la atención es impecable, además el hotel es muy cómodo y seguro.  Definitivamente una excelente opción para estancias por negocios.  Muy recomendable!",50
