Comentario,Tipo
Tuve una mala experiencia en este hotel por otras causas. Nunca he sido capaz de decidir donde reservar para una noche. Pero me dieron la opinión de un hotel que debería tener un descuento de un pequeño hotel d,0
"Tuve una mala experiencia en este hotel por algo de tiempo, pero fue mi única elección. Estábamos en la carretera y a poca distancia a pie de varios restaurantes y la ciudad, y era ruidoso y ruidos",0
"Tuve una mala experiencia en este hotel por culpa de que se trataba de una de las fechas más difíciles del año y por lo tanto, era más fácil encontrar aparcamiento gratuito. Tuve que pagar por aparcar porque e",0
Tuve una mala experiencia en este hotel por una sola noche en San Juan de los Lagos ya que mi marido y yo nos hospedamos en un hotel de la isla de Manabaa que era,0
"Tuve una mala experiencia en este hotel por lo que estaba pensando en cambiarlo por una habitación un poco más económica y me dieron la opción de quedarme en un hotel de 5 estrellas con una habitación decente, y",0
"Tuve una mala experiencia en este hotel por una queja reciente. El personal era muy grosero y las instalaciones parecían ser de otro siglo. El hotel tenía una habitación bastante grande para cuatro personas. Cuando llegamos allí, nos ofrecieron la instalación",0
"Tuve una mala experiencia en este hotel por el hotel ya que fuimos a dar una vuelta en coche de vuelta. Estaba todo bastante deteriorado, era complicado subir al ascensor...Más
Respuesta de HiltonJadeR,",0
"Tuve una mala experiencia en este hotel por culpa de un problema con la reserva por correo electrónico. Se nos han asignado una habitación y el día 1 de junio, nos llegó la carta diciéndonos que en este hotel",0
"Tuve una mala experiencia en este hotel por culpa de otras personas que al parecer, estaban mal. El hotel estaba de moda y era el momento perfecto de tomar medidas de...la decoración del hotel y encontrar",0
"Tuve una mala experiencia en este hotel por que no fui a una excursión con mi familia y no había ningún sitio para ir al lago. El hotel no era un hotel de tipo familiar ni de la vida del siglo pasado,",0
"Tuve una mala experiencia en este hotel por el lugar donde fui la semana pasada. Había una habitación con una ventana de vidrio, así que era imposible hacer las fotos cuando alguien no venía caminando a la habitación, pero, todo el mundo",0
"Tuve una mala experiencia en este hotel por la habitación ""normal"" con vistas al río. El personal era amable y servicial, no es el típico y educado tipo, de hecho había veces que el dueño gritaba (como el",0
"Tuve una mala experiencia en este hotel por una reserva al día siguiente a través de una reserva de la noche en línea y no fue la primera vez que tuve problemas, así que siempre tenía que tomar mi vuelo a",0
"Tuve una mala experiencia en este hotel por culpa de la agencia de citas de un familiar... en cuanto al hotel a 10 minutos al norte de la terminal de metro, habia mucha aglom",0
"Tuve una mala experiencia en este hotel por la gente de recepción. Nos llevaron a...Más
Respuesta de HiltonHillCenter, Director de Relaciones Públicas en Hilton Hotel & Suites Los Angeles Downto",0
Tuve una mala experiencia en este hotel por no tener un hotel que fuera sencillo y limpio; por lo cual me lo robaron y yo me quedé en el segundo piso. Las habitaciones y mobiliario están muy deterioradas por el tiempo que duró,0
"Tuve una mala experiencia en este hotel por su pésimo servicio. El personal no era humano y fue extremadamente grosero e irrespetuoso con ellos, en cambio de una chica de recepción, me llevaron a un",0
"Tuve una mala experiencia en este hotel por ser un hotel muy caro a los estándares del US.com. Cuando llegué, nos dieron una habitación en el segundo piso con el ruido del agua. En resumen, nos dieron una habitación sin",0
"Tuve una mala experiencia en este hotel por la forma como se hizo en mi paso a pie pero no me voy a quejar del servicio, fueron rápidos en responder las peticiones de un pequeño grupo, siempre están pendientes ",0
"Tuve una mala experiencia en este hotel por ser el centro y no tener suficiente personal. El personal en el desayuno es muy amable, la ubicación en la playa es ideal para recorrer las playas de",0
"Tuve una mala experiencia en este hotel por una cuestión de seguridad, como no hubo ningún incidente, no nos dieron recomendaciones de que podíamos alojarnos en el hotel ni de que podíamos hacer antes que ellos!",0
"Tuve una mala experiencia en este hotel por 3 semanas mientras estaba en Disney World, pero la experiencia fue muy buena. La habitación estaba limpia y todo estaba actualizado. La ducha era...limpia y funcionaba correctamente, así que la habitación",0
"Tuve una mala experiencia en este hotel por la situación del acceso a las instalaciones, el restaurante de poca comida. Me hubiera gustado un poco más al este, pero yo no es así, la ciudad lo que es",0
Tuve una mala experiencia en este hotel por culpa de mi esposo. Me alojé en el B&B a dos cuadras de la salida 15 de la autovía G. El servicio es d,0
Tuve una mala experiencia en este hotel por que las habitaciones son de mala calidad el suelo de las habitaciones se hace pis sobre alfombras pesadas lo que genera malestar a las personas que se encuentran en el cuarto de,0
"Tuve una mala experiencia en este hotel por motivos de trabajo, nos alojamos en el último piso del hotel (un 5 estrellas) y mi estancia no fue tan placentera, la habitación es un gran hotel pequeño, estaba",0
Tuve una mala experiencia en este hotel por la mañana porque el personal era muy grosero y me dio un número de teléfono de los alrededores diciendo que se encuentra en el área de estacionamiento que no se...,0
Tuve una mala experiencia en este hotel por una mala comida y la comida es extremadamente cara. El pollo y...la ensalada eran tan caras o incluso demasiado caro. El personal era amable y servicial y muy atentos. Si estás aquí con,0
"Tuve una mala experiencia en este hotel por las características de la casa y la poca luz y poco espacio en la habitación. El mobiliario de este hotel, sin servicio de calefacción/secación (por cierto",0
"Tuve una mala experiencia en este hotel por culpa de un mal servicio (no se podía entrar el bar y cambiar las tarjetas, y por esa misma razón tuve que cambiar el personal por lo que tuvimos que pedir uno diferente en",0
"Tuve una mala experiencia en este hotel por los comentarios positivos de los clientes anteriormente. Me alojé en la zona de la planta baja, donde hay muy pocos autobuses o taxis. No me molesté en",0
"Seleccioné una mala calificación para este hotel porque en el pasado se lo había prestado y en vez de venir y decirme que estaba limpio, lo único que me decía era:
Me lo dijo una y otra vez para poder",0
